Código del producto,Código del fabricante,Descripción del producto,Column1,Stock,
101,Clavo bloqueado de Fémur experto en titanio y sus componentes,,Stock,1445,
101.01,135503530,Clavo bloqueado de Fémur experto en titanio 9x30 izq.,Stock,4,
101.02,135503532,Clavo bloqueado de Fémur experto en titanio 9x32 izq.,Stock,5,
101.03,135503534,Clavo bloqueado de Fémur experto en titanio 9x34 izq.,Stock,52,
101.04,135503536,Clavo bloqueado de Fémur experto en titanio 9x36 izq.,Stock,60,
101.05,135503538,Clavo bloqueado de Fémur experto en titanio 9x38 izq.,Stock,49,
101.06,135503636,Clavo bloqueado de Fémur experto en titanio 10x36 izq.,Stock,16,
101.07,135503638,Clavo bloqueado de Fémur experto en titanio 10x38 izq.,Stock,287,
101.08,135503640,Clavo bloqueado de Fémur experto en titanio 10x40 izq.,Stock,178,
101.09,135503642,Clavo bloqueado de Fémur experto en titanio 10x42 izq.,Stock,16,
101.1,135503644,Clavo bloqueado de Fémur experto en titanio 10x44 izq.,Stock,1,
101.11,135503738,Clavo bloqueado de Fémur experto en titanio 11x38 izq.,Stock,22,
101.12,135503740,Clavo bloqueado de Fémur experto en titanio 11x40 izq.,Stock,34,
101.13,135503742,Clavo bloqueado de Fémur experto en titanio 11x42 izq.,Stock,15,
101.14,135503744,Clavo bloqueado de Fémur experto en titanio 11x44 izq.,Stock,2,
101.15,135503836,Clavo bloqueado de Fémur experto en titanio 12x36 izq.,Stock,14,
101.16,135503838,Clavo bloqueado de Fémur experto en titanio 12x38 izq.,Stock,13,
101.17,135503840,Clavo bloqueado de Fémur experto en titanio 12x40 izq.,Stock,15,
101.18,135503842,Clavo bloqueado de Fémur experto en titanio 12x42 izq.,Stock,14,
101.19,135504530,Clavo bloqueado de Fémur experto en titanio 9x30 der.,Stock,3,
101.2,135504532,Clavo bloqueado de Fémur experto en titanio 9x32 der.,Stock,4,
101.21,135504534,Clavo bloqueado de Fémur experto en titanio 9x34 der.,Stock,48,
101.22,135504536,Clavo bloqueado de Fémur experto en titanio 9x36 der.,Stock,52,
101.23,135504538,Clavo bloqueado de Fémur experto en titanio 9x38 der.,Stock,46,
101.24,135504636,Clavo bloqueado de Fémur experto en titanio 10x36 der.,Stock,20,
101.25,135504638,Clavo bloqueado de Fémur experto en titanio 10x38 der.,Stock,149,
101.26,135504640,Clavo bloqueado de Fémur experto en titanio 10x40 der.,Stock,162,
101.27,135504642,Clavo bloqueado de Fémur experto en titanio 10x42 der.,Stock,34,
101.28,135504644,Clavo bloqueado de Fémur experto en titanio 10x44 der.,Stock,0,
101.29,135504738,Clavo bloqueado de Fémur experto en titanio 11x38 der.,Stock,9,
101.3,135504740,Clavo bloqueado de Fémur experto en titanio 11x40 der.,Stock,31,
101.31,135504742,Clavo bloqueado de Fémur experto en titanio 11x42 der.,Stock,29,
101.32,135504744,Clavo bloqueado de Fémur experto en titanio 11x44 der.,Stock,2,
101.33,135504836,Clavo bloqueado de Fémur experto en titanio 12x36 der.,Stock,14,
101.34,135504838,Clavo bloqueado de Fémur experto en titanio 12x38 der.,Stock,15,
101.35,135504840,Clavo bloqueado de Fémur experto en titanio 12x40 der.,Stock,15,
101.36,135504842,Clavo bloqueado de Fémur experto en titanio 12x42 der.,Stock,15,
102,Tornillo de bloqueo en titanio 4.9 ,,Stock,1818,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,Stock,28,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,Stock,575,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,Stock,343,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,Stock,78,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,Stock,29,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,Stock,39,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,Stock,60,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,Stock,63,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,Stock,87,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,Stock,22,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,Stock,112,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,Stock,42,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,Stock,43,
102.14,135400070,Tornillo de bloqueo en titanio 4.9x70mm,Stock,94,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,Stock,107,
102.16,135400076,Tornillo de bloqueo en titanio 4.9x76mm,Stock,48,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,Stock,48,
